intel_id,territory_id,week_number,zylatec_estimated_calls,zylatec_market_share_pct,vexorin_market_share_pct,launch_phase,data_source
INTEL_000001,TER_NO_01,1,57,32.53,19.97,LAST_LAUNCH,IQVIA
INTEL_000002,TER_NO_01,2,63,33.72,16.79,LAST_LAUNCH,IQVIA
INTEL_000003,TER_NO_01,3,63,33.95,16.12,LAST_LAUNCH,Symphony Health
INTEL_000004,TER_NO_01,4,70,35.16,23.18,LAST_LAUNCH,IQVIA
INTEL_000005,TER_NO_01,5,67,37.31,13.02,LAST_LAUNCH,IQVIA
INTEL_000006,TER_NO_01,6,70,39.37,11.38,LAST_LAUNCH,IQVIA
INTEL_000007,TER_NO_01,7,58,38.24,15.78,LAST_LAUNCH,IQVIA
INTEL_000008,TER_NO_01,8,63,41.57,8.6,LAST_LAUNCH,IQVIA
INTEL_000009,TER_NO_01,9,46,44.07,10.55,LAST_LAUNCH,IQVIA
INTEL_000010,TER_NO_01,10,55,45.17,11.73,LAST_LAUNCH,IQVIA
INTEL_000011,TER_NO_01,11,44,45.23,10.44,LAST_LAUNCH,Symphony Health
INTEL_000012,TER_NO_01,12,50,44.73,6.38,LAST_LAUNCH,Symphony Health
INTEL_000013,TER_NO_01,13,56,43.11,15.06,LAST_LAUNCH,IQVIA
INTEL_000014,TER_NO_01,14,47,44.64,12.27,LAST_LAUNCH,IQVIA
INTEL_000015,TER_NO_01,15,47,40.72,16.07,LAST_LAUNCH,Symphony Health
INTEL_000016,TER_NO_01,16,47,40.72,17.14,LAST_LAUNCH,IQVIA
INTEL_000017,TER_NO_01,17,51,44.04,12.68,LAST_LAUNCH,IQVIA
INTEL_000018,TER_NO_01,18,52,41.99,13.79,LAST_LAUNCH,IQVIA
INTEL_000019,TER_NO_01,19,48,41.99,14.91,LAST_LAUNCH,IQVIA
INTEL_000020,TER_NO_01,20,48,42.34,8.3,LAST_LAUNCH,Symphony Health
INTEL_000021,TER_NO_01,21,53,43.57,7.96,LAST_LAUNCH,IQVIA
INTEL_000022,TER_NO_01,22,43,44.49,12.2,LAST_LAUNCH,IQVIA
INTEL_000023,TER_NO_01,23,55,44.99,7.64,LAST_LAUNCH,Symphony Health
INTEL_000024,TER_NO_01,24,49,45.06,8.6,LAST_LAUNCH,IQVIA
INTEL_000025,TER_NO_01,25,53,41.42,11.02,LAST_LAUNCH,IQVIA
INTEL_000026,TER_NO_01,26,54,43.11,8.97,LAST_LAUNCH,Symphony Health
INTEL_000027,TER_NO_01,27,48,45.51,10.7,LAST_LAUNCH,IQVIA
INTEL_000028,TER_NO_01,28,54,40.57,12.32,LAST_LAUNCH,IQVIA
INTEL_000029,TER_NO_01,29,54,44.66,15.15,LAST_LAUNCH,IQVIA
INTEL_000030,TER_NO_01,30,50,43.92,8.89,LAST_LAUNCH,IQVIA
INTEL_000031,TER_NO_01,31,58,43.59,12.71,LAST_LAUNCH,IQVIA
INTEL_000032,TER_NO_01,32,56,43.71,7.17,LAST_LAUNCH,IQVIA
INTEL_000033,TER_NO_01,33,49,43.61,6.8,LAST_LAUNCH,IQVIA
INTEL_000034,TER_NO_01,34,57,42.06,10.79,LAST_LAUNCH,Symphony Health
INTEL_000035,TER_NO_01,35,54,41.73,14.15,LAST_LAUNCH,IQVIA
INTEL_000036,TER_NO_01,36,48,44.15,15.0,LAST_LAUNCH,Symphony Health
INTEL_000037,TER_NO_01,37,48,40.75,17.25,LAST_LAUNCH,IQVIA
INTEL_000038,TER_NO_01,38,54,42.46,12.73,LAST_LAUNCH,IQVIA
INTEL_000039,TER_NO_01,39,43,40.92,12.42,LAST_LAUNCH,IQVIA
INTEL_000040,TER_NO_01,40,46,42.79,14.96,LAST_LAUNCH,IQVIA
INTEL_000041,TER_NO_01,41,54,44.87,12.43,LAST_LAUNCH,IQVIA
INTEL_000042,TER_NO_01,42,46,45.17,8.22,LAST_LAUNCH,IQVIA
INTEL_000043,TER_NO_01,43,51,40.84,18.01,LAST_LAUNCH,Symphony Health
INTEL_000044,TER_NO_01,44,43,45.38,9.12,LAST_LAUNCH,Symphony Health
INTEL_000045,TER_NO_01,45,56,45.52,8.26,LAST_LAUNCH,IQVIA
INTEL_000046,TER_NO_01,46,44,43.85,9.48,LAST_LAUNCH,Symphony Health
INTEL_000047,TER_NO_01,47,45,45.05,13.87,LAST_LAUNCH,Symphony Health
INTEL_000048,TER_NO_01,48,56,44.48,6.42,LAST_LAUNCH,Symphony Health
INTEL_000049,TER_NO_01,49,47,44.92,14.4,LAST_LAUNCH,Symphony Health
INTEL_000050,TER_NO_01,50,50,43.81,14.29,LAST_LAUNCH,IQVIA
INTEL_000051,TER_NO_01,51,57,41.58,13.59,LAST_LAUNCH,IQVIA
INTEL_000052,TER_NO_01,52,57,40.17,15.24,LAST_LAUNCH,Symphony Health
INTEL_000053,TER_NO_01,1,71,30.5,31.61,CURRENT_LAUNCH,IQVIA
INTEL_000054,TER_NO_01,2,63,31.93,29.77,CURRENT_LAUNCH,IQVIA
INTEL_000055,TER_NO_01,3,68,32.69,29.46,CURRENT_LAUNCH,IQVIA
INTEL_000056,TER_NO_01,4,69,32.89,28.69,CURRENT_LAUNCH,Symphony Health
INTEL_000057,TER_NO_01,5,59,34.15,31.26,CURRENT_LAUNCH,Symphony Health
INTEL_000058,TER_NO_01,6,75,38.22,25.98,CURRENT_LAUNCH,IQVIA
INTEL_000059,TER_NO_01,7,64,36.4,23.08,CURRENT_LAUNCH,Symphony Health
INTEL_000060,TER_NO_01,8,73,36.47,29.36,CURRENT_LAUNCH,IQVIA
INTEL_000061,TER_NO_01,9,59,38.49,21.63,CURRENT_LAUNCH,IQVIA
INTEL_000062,TER_NO_01,10,50,41.77,26.87,CURRENT_LAUNCH,Symphony Health
INTEL_000063,TER_NO_01,11,53,38.94,27.2,CURRENT_LAUNCH,IQVIA
INTEL_000064,TER_NO_01,12,55,39.56,21.55,CURRENT_LAUNCH,IQVIA
INTEL_000065,TER_NO_01,13,61,39.66,21.21,CURRENT_LAUNCH,Symphony Health
INTEL_000066,TER_NO_01,14,57,39.37,23.56,CURRENT_LAUNCH,IQVIA
INTEL_000067,TER_NO_01,15,53,41.01,19.83,CURRENT_LAUNCH,IQVIA
INTEL_000068,TER_NO_01,16,48,39.36,24.28,CURRENT_LAUNCH,Symphony Health
INTEL_000069,TER_NO_01,17,60,40.62,24.85,CURRENT_LAUNCH,IQVIA
INTEL_000070,TER_NO_01,18,50,42.95,21.79,CURRENT_LAUNCH,IQVIA
INTEL_000071,TER_NO_01,19,56,38.61,28.74,CURRENT_LAUNCH,IQVIA
INTEL_000072,TER_NO_01,20,48,39.15,23.37,CURRENT_LAUNCH,Symphony Health
INTEL_000073,TER_NO_02,1,72,33.41,25.67,LAST_LAUNCH,IQVIA
INTEL_000074,TER_NO_02,2,71,34.46,22.87,LAST_LAUNCH,Symphony Health
INTEL_000075,TER_NO_02,3,62,34.7,21.61,LAST_LAUNCH,Symphony Health
INTEL_000076,TER_NO_02,4,61,36.08,22.93,LAST_LAUNCH,Symphony Health
INTEL_000077,TER_NO_02,5,67,38.92,12.76,LAST_LAUNCH,IQVIA
INTEL_000078,TER_NO_02,6,58,37.1,22.47,LAST_LAUNCH,IQVIA
INTEL_000079,TER_NO_02,7,68,37.59,14.6,LAST_LAUNCH,IQVIA
INTEL_000080,TER_NO_02,8,65,39.74,18.58,LAST_LAUNCH,IQVIA
INTEL_000081,TER_NO_02,9,53,46.73,13.23,LAST_LAUNCH,IQVIA
INTEL_000082,TER_NO_02,10,48,44.48,5.96,LAST_LAUNCH,Symphony Health
INTEL_000083,TER_NO_02,11,55,44.82,10.24,LAST_LAUNCH,Symphony Health
INTEL_000084,TER_NO_02,12,57,43.15,15.41,LAST_LAUNCH,IQVIA
INTEL_000085,TER_NO_02,13,54,45.26,12.68,LAST_LAUNCH,IQVIA
INTEL_000086,TER_NO_02,14,56,42.23,9.25,LAST_LAUNCH,IQVIA
INTEL_000087,TER_NO_02,15,51,42.19,9.23,LAST_LAUNCH,IQVIA
INTEL_000088,TER_NO_02,16,57,44.55,8.98,LAST_LAUNCH,IQVIA
INTEL_000089,TER_NO_02,17,47,44.82,8.23,LAST_LAUNCH,Symphony Health
INTEL_000090,TER_NO_02,18,58,45.74,10.02,LAST_LAUNCH,IQVIA
INTEL_000091,TER_NO_02,19,52,43.52,11.69,LAST_LAUNCH,IQVIA
INTEL_000092,TER_NO_02,20,58,42.61,10.23,LAST_LAUNCH,Symphony Health
INTEL_000093,TER_NO_02,21,57,42.43,9.74,LAST_LAUNCH,IQVIA
INTEL_000094,TER_NO_02,22,46,43.5,15.81,LAST_LAUNCH,IQVIA
INTEL_000095,TER_NO_02,23,51,44.33,12.24,LAST_LAUNCH,Symphony Health
INTEL_000096,TER_NO_02,24,59,44.34,6.1,LAST_LAUNCH,IQVIA
INTEL_000097,TER_NO_02,25,53,45.29,10.87,LAST_LAUNCH,IQVIA
INTEL_000098,TER_NO_02,26,56,45.85,6.8,LAST_LAUNCH,Symphony Health
INTEL_000099,TER_NO_02,27,47,41.05,16.42,LAST_LAUNCH,IQVIA
INTEL_000100,TER_NO_02,28,52,42.88,15.96,LAST_LAUNCH,Symphony Health
INTEL_000101,TER_NO_02,29,46,46.68,8.87,LAST_LAUNCH,IQVIA
INTEL_000102,TER_NO_02,30,52,43.53,7.08,LAST_LAUNCH,Symphony Health
INTEL_000103,TER_NO_02,31,54,41.5,16.06,LAST_LAUNCH,Symphony Health
INTEL_000104,TER_NO_02,32,49,43.63,10.75,LAST_LAUNCH,IQVIA
INTEL_000105,TER_NO_02,33,56,45.32,11.39,LAST_LAUNCH,IQVIA
INTEL_000106,TER_NO_02,34,57,44.12,14.93,LAST_LAUNCH,IQVIA
INTEL_000107,TER_NO_02,35,57,44.41,9.37,LAST_LAUNCH,IQVIA
INTEL_000108,TER_NO_02,36,60,43.44,16.48,LAST_LAUNCH,Symphony Health
INTEL_000109,TER_NO_02,37,45,43.87,13.62,LAST_LAUNCH,IQVIA
INTEL_000110,TER_NO_02,38,56,46.66,5.49,LAST_LAUNCH,IQVIA
INTEL_000111,TER_NO_02,39,50,45.28,8.64,LAST_LAUNCH,Symphony Health
INTEL_000112,TER_NO_02,40,57,42.11,17.71,LAST_LAUNCH,IQVIA
INTEL_000113,TER_NO_02,41,58,41.57,15.74,LAST_LAUNCH,IQVIA
INTEL_000114,TER_NO_02,42,50,42.38,16.19,LAST_LAUNCH,IQVIA
INTEL_000115,TER_NO_02,43,56,41.23,11.13,LAST_LAUNCH,Symphony Health
INTEL_000116,TER_NO_02,44,46,46.64,6.91,LAST_LAUNCH,IQVIA
INTEL_000117,TER_NO_02,45,57,43.2,10.44,LAST_LAUNCH,IQVIA
INTEL_000118,TER_NO_02,46,60,43.36,11.11,LAST_LAUNCH,IQVIA
INTEL_000119,TER_NO_02,47,45,45.83,10.13,LAST_LAUNCH,Symphony Health
INTEL_000120,TER_NO_02,48,59,46.58,10.59,LAST_LAUNCH,IQVIA
INTEL_000121,TER_NO_02,49,57,46.76,5.0,LAST_LAUNCH,IQVIA
INTEL_000122,TER_NO_02,50,51,41.49,14.64,LAST_LAUNCH,IQVIA
INTEL_000123,TER_NO_02,51,52,41.53,17.47,LAST_LAUNCH,Symphony Health
INTEL_000124,TER_NO_02,52,45,44.74,8.45,LAST_LAUNCH,IQVIA
INTEL_000125,TER_NO_02,1,63,34.37,27.94,CURRENT_LAUNCH,IQVIA
INTEL_000126,TER_NO_02,2,66,35.35,26.09,CURRENT_LAUNCH,Symphony Health
INTEL_000127,TER_NO_02,3,55,35.93,23.04,CURRENT_LAUNCH,Symphony Health
INTEL_000128,TER_NO_02,4,53,38.72,26.26,CURRENT_LAUNCH,IQVIA
INTEL_000129,TER_NO_02,5,61,40.88,20.9,CURRENT_LAUNCH,IQVIA
INTEL_000130,TER_NO_02,6,56,39.96,25.98,CURRENT_LAUNCH,IQVIA
INTEL_000131,TER_NO_02,7,53,40.56,27.43,CURRENT_LAUNCH,IQVIA
INTEL_000132,TER_NO_02,8,53,43.57,24.43,CURRENT_LAUNCH,Symphony Health
INTEL_000133,TER_NO_02,9,48,42.57,19.88,CURRENT_LAUNCH,IQVIA
INTEL_000134,TER_NO_02,10,45,46.41,19.53,CURRENT_LAUNCH,IQVIA
INTEL_000135,TER_NO_02,11,53,46.17,21.14,CURRENT_LAUNCH,IQVIA
INTEL_000136,TER_NO_02,12,41,43.55,22.31,CURRENT_LAUNCH,IQVIA
