record_id,drug_name,week_number,year,units_produced,units_sold,units_in_warehouse,raw_material_cost_per_unit,manufacturing_cost_per_unit,total_cogs_usd
PROD_00001,VEXORIN,1,2021,3899,2413,6486,187.68,321.41,1984941.91
PROD_00002,VEXORIN,2,2021,3885,2301,8070,189.43,324.01,1994714.4
PROD_00003,VEXORIN,3,2021,3894,2850,9114,184.91,310.32,1928425.62
PROD_00004,VEXORIN,4,2021,3924,2749,10289,179.66,332.98,2011599.36
PROD_00005,VEXORIN,5,2021,3897,2867,11319,183.27,321.27,1966192.38
PROD_00006,VEXORIN,6,2021,3835,2556,12598,187.75,323.45,1960452.0
PROD_00007,VEXORIN,7,2021,3578,2049,14127,184.81,310.53,1772326.52
PROD_00008,VEXORIN,8,2021,3854,2579,15402,183.58,312.49,1911853.78
PROD_00009,VEXORIN,9,2021,4001,2684,16719,175.57,319.13,1979294.7
PROD_00010,VEXORIN,10,2021,4107,2900,17926,186.13,324.94,2098964.49
PROD_00011,VEXORIN,11,2021,3806,2777,18955,175.55,319.22,1883094.62
PROD_00012,VEXORIN,12,2021,3645,2355,20245,182.41,320.95,1834747.2
PROD_00013,VEXORIN,13,2021,3776,2403,21618,177.92,320.12,1880599.04
PROD_00014,VEXORIN,14,2021,3859,2698,22779,175.02,310.42,1873312.96
PROD_00015,VEXORIN,15,2021,3774,2666,23887,184.46,329.66,1940288.88
PROD_00016,VEXORIN,16,2021,4046,2913,25020,184.56,326.66,2068396.12
PROD_00017,VEXORIN,17,2021,3970,2948,26042,179.0,328.1,2013187.0
PROD_00018,VEXORIN,18,2021,4171,2960,27253,188.63,316.09,2105187.12
PROD_00019,VEXORIN,19,2021,4100,2336,29017,188.77,322.92,2097929.0
PROD_00020,VEXORIN,20,2021,3647,2538,30126,184.78,311.7,1810662.56
PROD_00021,VEXORIN,21,2021,4206,2330,32002,178.88,326.89,2127268.62
PROD_00022,VEXORIN,22,2021,4131,2333,33800,183.13,322.59,2089129.32
PROD_00023,VEXORIN,23,2021,3976,2514,35262,181.07,318.5,1986290.32
PROD_00024,VEXORIN,24,2021,3952,2300,36914,187.26,311.85,1972482.72
PROD_00025,VEXORIN,25,2021,3676,2085,38505,179.26,321.74,1841676.0
PROD_00026,VEXORIN,26,2021,3992,2687,39810,188.11,321.81,2035600.64
