spend_id,month,year,channel,drug_name,spend_usd,territory_id,launch_phase
SPEND_00001,1,2021,Digital,VEXORIN,207408.03,,LAST_LAUNCH
SPEND_00002,1,2021,Print,VEXORIN,48179.23,,LAST_LAUNCH
SPEND_00003,1,2021,Congress,VEXORIN,82196.27,,LAST_LAUNCH
SPEND_00004,1,2021,KOL_Engagement,VEXORIN,102475.16,,LAST_LAUNCH
SPEND_00005,1,2021,CME_Events,VEXORIN,7218.45,TER_NO_01,LAST_LAUNCH
SPEND_00006,1,2021,Samples,VEXORIN,9921.11,TER_NO_01,LAST_LAUNCH
SPEND_00007,1,2021,CME_Events,VEXORIN,7752.0,TER_NO_02,LAST_LAUNCH
SPEND_00008,1,2021,Samples,VEXORIN,14262.22,TER_NO_02,LAST_LAUNCH
SPEND_00009,1,2021,CME_Events,VEXORIN,6172.52,TER_NO_03,LAST_LAUNCH
SPEND_00010,1,2021,Samples,VEXORIN,10551.35,TER_NO_03,LAST_LAUNCH
SPEND_00011,1,2021,CME_Events,VEXORIN,7052.92,TER_SO_01,LAST_LAUNCH
SPEND_00012,1,2021,Samples,VEXORIN,14819.51,TER_SO_01,LAST_LAUNCH
SPEND_00013,1,2021,CME_Events,VEXORIN,5653.68,TER_SO_02,LAST_LAUNCH
SPEND_00014,1,2021,Samples,VEXORIN,13700.33,TER_SO_02,LAST_LAUNCH
SPEND_00015,1,2021,CME_Events,VEXORIN,8405.03,TER_SO_03,LAST_LAUNCH
SPEND_00016,1,2021,Samples,VEXORIN,10475.58,TER_SO_03,LAST_LAUNCH
SPEND_00017,1,2021,CME_Events,VEXORIN,9511.79,TER_MI_01,LAST_LAUNCH
SPEND_00018,1,2021,Samples,VEXORIN,14777.4,TER_MI_01,LAST_LAUNCH
SPEND_00019,1,2021,CME_Events,VEXORIN,7347.25,TER_MI_02,LAST_LAUNCH
SPEND_00020,1,2021,Samples,VEXORIN,13746.17,TER_MI_02,LAST_LAUNCH
SPEND_00021,1,2021,CME_Events,VEXORIN,6852.88,TER_MI_03,LAST_LAUNCH
SPEND_00022,1,2021,Samples,VEXORIN,9742.72,TER_MI_03,LAST_LAUNCH
SPEND_00023,1,2021,CME_Events,VEXORIN,8657.51,TER_MO_01,LAST_LAUNCH
SPEND_00024,1,2021,Samples,VEXORIN,12122.59,TER_MO_01,LAST_LAUNCH
SPEND_00025,1,2021,CME_Events,VEXORIN,9543.54,TER_MO_02,LAST_LAUNCH
SPEND_00026,1,2021,Samples,VEXORIN,13184.85,TER_MO_02,LAST_LAUNCH
SPEND_00027,1,2021,CME_Events,VEXORIN,8595.19,TER_MO_03,LAST_LAUNCH
SPEND_00028,1,2021,Samples,VEXORIN,9406.25,TER_MO_03,LAST_LAUNCH
SPEND_00029,1,2021,CME_Events,VEXORIN,8460.5,TER_PA_01,LAST_LAUNCH
SPEND_00030,1,2021,Samples,VEXORIN,10640.05,TER_PA_01,LAST_LAUNCH
SPEND_00031,1,2021,CME_Events,VEXORIN,8211.12,TER_PA_02,LAST_LAUNCH
SPEND_00032,1,2021,Samples,VEXORIN,14702.31,TER_PA_02,LAST_LAUNCH
SPEND_00033,1,2021,CME_Events,VEXORIN,8041.21,TER_PA_03,LAST_LAUNCH
SPEND_00034,1,2021,Samples,VEXORIN,12333.71,TER_PA_03,LAST_LAUNCH
SPEND_00035,2,2021,Digital,VEXORIN,208788.22,,LAST_LAUNCH
SPEND_00036,2,2021,Print,VEXORIN,41098.55,,LAST_LAUNCH
SPEND_00037,2,2021,Congress,VEXORIN,94120.2,,LAST_LAUNCH
SPEND_00038,2,2021,KOL_Engagement,VEXORIN,84246.35,,LAST_LAUNCH
SPEND_00039,2,2021,CME_Events,VEXORIN,7441.54,TER_NO_01,LAST_LAUNCH
SPEND_00040,2,2021,Samples,VEXORIN,12884.32,TER_NO_01,LAST_LAUNCH
SPEND_00041,2,2021,CME_Events,VEXORIN,8981.54,TER_NO_02,LAST_LAUNCH
SPEND_00042,2,2021,Samples,VEXORIN,14325.56,TER_NO_02,LAST_LAUNCH
SPEND_00043,2,2021,CME_Events,VEXORIN,8391.24,TER_NO_03,LAST_LAUNCH
SPEND_00044,2,2021,Samples,VEXORIN,9527.92,TER_NO_03,LAST_LAUNCH
SPEND_00045,2,2021,CME_Events,VEXORIN,6560.68,TER_SO_01,LAST_LAUNCH
SPEND_00046,2,2021,Samples,VEXORIN,14665.74,TER_SO_01,LAST_LAUNCH
SPEND_00047,2,2021,CME_Events,VEXORIN,5970.31,TER_SO_02,LAST_LAUNCH
SPEND_00048,2,2021,Samples,VEXORIN,11167.93,TER_SO_02,LAST_LAUNCH
SPEND_00049,2,2021,CME_Events,VEXORIN,7369.36,TER_SO_03,LAST_LAUNCH
SPEND_00050,2,2021,Samples,VEXORIN,9648.35,TER_SO_03,LAST_LAUNCH
